ID,Parity,Lactation_stage,Pregnancy_status,Breed,Claw_health,Time_in_area,Lactation_group
26,1,Mid,0,RDC,1,0.526742049573948,Late
27,2,Early,0,HOL,0,0.489234261652399,Late
28,3+,Mid,1,CROSS,0,0.407106606633473,Late
29,1,Mid,1,RDC,1,0.531902857539745,Late
30,2,Early,0,RDC,0,0.428537315160878,Late
31,3+,Mid,1,HOL,1,0.384756393579759,Late
32,2,Early,0,RDC,1,0.566841075907135,Late
33,3+,Mid,0,RDC,0,0.365592099099281,Late
34,1,Mid,1,HOL,0,0.448268427650859,Late
35,3+,Mid,1,RDC,0,0.389637087636375,Late
36,2,Early,0,CROSS,1,0.406336200386337,Late
37,1,Mid,1,HOL,0,0.474096720851538,Late
38,1,Mid,1,HOL,0,0.356699594675604,Late
39,1,Mid,1,HOL,0,0.377251558357813,Late
40,1,Mid,0,HOL,1,0.425095102318185,Late
41,3+,Early,0,CROSS,0,0.479519420506091,Late
42,3+,Early,0,CROSS,1,0.41464349313512,Late
43,3+,Mid,0,HOL,0,0.393153485843099,Late
44,2,Mid,0,CROSS,0,0.456544611249027,Late
45,3+,Mid,1,CROSS,0,0.399011175666471,Late
46,1,Mid,1,CROSS,0,0.547834843907351,Late
47,1,Mid,1,RDC,1,0.474383242710385,Late
48,1,Mid,0,HOL,0,0.473613494162995,Late
49,2,Mid,1,CROSS,0,0.444800329337804,Late
50,3+,Mid,0,RDC,0,0.419419469240731,Late
51,3+,Mid,0,CROSS,1,0.348266498108898,Late
52,3+,Mid,1,CROSS,1,0.306906916529372,Late
53,3+,Mid,0,CROSS,0,0.367992117923084,Late
54,3+,Late,1,CROSS,0,0.33665164716629,Late
55,2,Mid,0,RDC,0,0.484611659526914,Late
56,3+,Early,0,RDC,0,0.462531707115696,Late
57,3+,Mid,1,CROSS,1,0.444584739104312,Late
58,3+,Early,0,RDC,0,0.462663744113271,Late
59,1,Mid,1,RDC,0,0.497370956565935,Late
60,3+,Early,0,CROSS,0,0.634009631482461,Late
61,2,Late,1,HOL,0,0.406771854051292,Late
62,2,Mid,1,CROSS,1,0.387514668547541,Late
63,2,Early,0,HOL,0,0.515637735154777,Late
64,3+,Mid,0,HOL,1,0.398494293735374,Late
65,3+,Early,0,CROSS,0,0.604447125822124,Late
66,3+,Early,0,HOL,0,0.370305982245779,Late
67,1,Mid,1,HOL,0,0.469140610013428,Late
68,3+,Mid,0,CROSS,1,0.373265204604894,Late
69,1,Mid,1,RDC,0,0.287482825893324,Late
70,3+,Mid,1,CROSS,0,0.407879283587098,Late
71,3+,Early,0,RDC,0,0.458332016684573,Late
72,3+,Mid,1,CROSS,0,0.368935479359367,Late
73,1,Mid,0,CROSS,0,0.476639588659305,Late
