x;y;datetime;smd50upveg;distroad;elevation;day
699873,3225;7225203,422;2010-08-01 02:34;Young;424,2640686;309;1
699857,7284;7225213,36;2010-08-01 02:36;Young;424,2640686;288;1
699859,355;7225203,225;2010-08-01 02:38;Young;424,2640686;276;1
699857,9475;7225212,443;2010-08-01 02:40;Young;424,2640686;273;1
699858,3038;7225218,8;2010-08-01 02:42;Young;424,2640686;291;1
699864,8501;7225197,449;2010-08-01 02:44;Young;424,2640686;292;1
699867,7994;7225203,795;2010-08-01 02:46;Young;424,2640686;288;1
699866,2858;7225202,948;2010-08-01 02:48;Young;424,2640686;280;1
699853,2253;7225219,575;2010-08-01 02:50;Young;424,2640686;239;1
699855,7893;7225204,847;2010-08-01 02:52;Young;424,2640686;291;1
699862,7201;7225204,57;2010-08-01 02:54;Young;424,2640686;291;1
699862,5825;7225197,296;2010-08-01 02:56;Young;424,2640686;291;1
699862,2822;7225206,403;2010-08-01 02:58;Young;424,2640686;291;1
699866,0352;7225206,656;2010-08-01 03:00;Young;424,2640686;305;1
699864,0464;7225203,542;2010-08-01 03:02;Young;424,2640686;282;1
699859,9995;7225200,661;2010-08-01 03:04;Young;424,2640686;262;1
699869,0191;7225202,014;2010-08-01 03:06;Young;424,2640686;299;1
699870,8645;7225200,276;2010-08-01 03:08;Young;424,2640686;294;1
699865,7225;7225206,635;2010-08-01 03:10;Young;424,2640686;296;1
699863,0799;7225202,731;2010-08-01 03:12;Young;424,2640686;287;1
699866,736;7225205,586;2010-08-01 03:14;Young;424,2640686;289;1
699866,0354;7225206,656;2010-08-01 03:16;Young;424,2640686;288;1
699858,4789;7225211,548;2010-08-01 03:18;Young;424,2640686;293;1
699863,8273;7225199,801;2010-08-01 03:20;Young;424,2640686;295;1
699862,9832;7225196,019;2010-08-01 03:22;Young;424,2640686;272;1
699861,8447;7225208,236;2010-08-01 03:24;Young;424,2640686;269;1
699862,4387;7225206,413;2010-08-01 03:26;Young;424,2640686;284;1
699854,8509;7225204,784;2010-08-01 03:28;Young;424,2640686;294;1
699859,5111;7225193,922;2010-08-01 03:30;Young;424,2640686;301;1
699851,1791;7225205,653;2010-08-01 03:32;Young;424,2640686;290;1
699844,78;7225214,349;2010-08-01 03:34;Young;424,2640686;286;1
699851,8611;7225216,503;2010-08-01 03:36;Young;424,2640686;276;1
699847,0445;7225218,04;2010-08-01 03:38;Young;424,2640686;279;1
699834,0208;7225229,455;2010-08-01 03:40;Clear;390,5124817;300;1
699830,7811;7225216,943;2010-08-01 03:42;Young;424,2640686;268;1
699832,4258;7225227,485;2010-08-01 03:44;Clear;390,5124817;298;1
699814,5984;7225226,282;2010-08-01 03:46;Young;353,5534058;297;1
699816,4782;7225236,839;2010-08-01 03:48;Young;353,5534058;295;1
699821,2947;7225244,615;2010-08-01 03:50;Young;353,5534058;298;1
699815,8028;7225246,852;2010-08-01 03:52;Young;353,5534058;288;1
699813,7106;7225244,103;2010-08-01 03:54;Young;353,5534058;278;1
699816,1782;7225241,289;2010-08-01 03:56;Young;353,5534058;279;1
699818,3392;7225240,69;2010-08-01 03:58;Young;353,5534058;292;1
699827,0776;7225225,261;2010-08-01 04:00;Young;353,5534058;298;1
699815,2867;7225239,367;2010-08-01 04:02;Young;353,5534058;289;1
699831,2066;7225229,265;2010-08-01 04:04;Clear;390,5124817;259;1
699821,2602;7225232,319;2010-08-01 04:06;Young;353,5534058;297;1
699822,6834;7225228,69;2010-08-01 04:08;Young;353,5534058;291;1
699826,8024;7225233,997;2010-08-01 04:10;Young;353,5534058;291;1
699812,0402;7225229,276;2010-08-01 04:12;Young;353,5534058;289;1
699825,2573;7225221,972;2010-08-01 04:14;Young;353,5534058;295;1
699840,1358;7225188,89;2010-08-01 04:16;Young;424,2640686;268;1
699845,1396;7225198,54;2010-08-01 04:18;Young;424,2640686;296;1
699861,0441;7225192,163;2010-08-01 04:20;Young;424,2640686;272;1
699893,2587;7225185,024;2010-08-01 04:22;Mire;460,9772339;291;1
699917,6556;7225140,105;2010-08-01 04:24;Young;494,974762;289;1
699915,4086;7225053,527;2010-08-01 04:26;Young;565,6854248;286;1
699906,0855;7224990,314;2010-08-01 04:28;Young;583,0952148;283;1
699900,8117;7224986,978;2010-08-01 04:30;Young;583,0952148;301;1
699902,4946;7225001,62;2010-08-01 04:32;Young;583,0952148;284;1
